Cuestionario,Pregunta,Respuesta
DERECHO ECONÓMICO,"¿Qué establece el capítulo ""concentración e inducción"" de la ley de planeación?",Establece las bases para la concentración entre el sector público y las representaciones de los grupos sociales o particulares interesados.
DERECHO ECONÓMICO,"¿Qué establece el capítulo ""coordinación"" de la ley de planeación?",Establece que el ejecutivo federal podrá convenir con los gobiernos de los estados la coordinación para participar en la planeación nacional del desarrollo.
DERECHO ECONÓMICO,¿Quiénes son los sujetos de derecho económico?,"Son todos los agentes económicos en general, las personas jurídicas estatales, las personas jurídicas privadas y los particulares."
DERECHO ECONÓMICO,¿Qué es el estado de derecho económico?,"Este juega el papel de director y rector, actuando activamente como depósito de los intereses globales del sistema este tiene el mando y la jerarquía."
DERECHO ECONÓMICO,¿Qué es el banco?,"Es un agente económico ya que es el intermediario financiero recibe depósitos en dinero y otorga préstamos, entre otros servicios."
DERECHO ECONÓMICO,¿Quién es el encargado de proteger los derechos del consumidor?,En México mediante la PROFECO mejora su nivel de vida y para ser un mejor consumidor.
DERECHO ECONÓMICO,¿Por qué se dice que el derecho económico es bicéfalo?,Debido a que tiene un aspecto normativo y otro aspecto practico económico.
DERECHO ECONÓMICO,¿Por qué las metas de la política económica cambian periódicamente?,Los fines o metas de la política económica cambian periódicamente en función del estado o del mercado beneficiando a los empresarios.
DERECHO ECONÓMICO,¿Cuál es el objeto general del derecho económico?,Tiene como objeto normas jurídicas que enmarcan los comportamientos económicos de agentes y operadores físicos y morales.
DERECHO ECONÓMICO,De acuerdo con la Ley orgánica de la administración pública federal LOAPF ¿Quién integra la organización administrativa centralizada federal?,"La presidencia de la república, las secretarias del estado, departamentos administrativos y la procuraduría general de la república."
DERECHO ECONÓMICO,¿Cómo interviene el estado en la economía?,"Explotando recursos que le pertenecen exclusivamente y realizando actividades de fomento a la inversión privada y enseguida, promover junto con esta la industrialización."
DERECHO ECONÓMICO,¿De qué entidades se auxilia el poder ejecutivo de la unión para formar la administración pública paraestatal?,"1- Organismos descentralizados. 2- Empresas de participación estatal, instituciones nacionales de crédito, organizaciones auxiliares nacionales de crédito e instituciones nacionales de seguros y finanzas. 3- Fideicomisos."
DERECHO REGISTRAL,Qué es Derecho Registral?,"Conjunto de normas jurídicas y principios registrales que regulan la organización y funcionamiento de los registros públicos, los derechos inscribibles y medidas precautorias en los diversos registros, en relación con terceros."
DERECHO REGISTRAL,Qué es Derecho Notarial?,"Conjunto de disposiciones legislativas y reglamentarias, usos decisiones jurisprudenciales y doctrinas, que rigen la función y el instrumento público notarial."
DERECHO REGISTRAL,"Qué otro requisito debe cumplir previamente el notario para ejercer la función notarial, además de la garantía, el sello, la firma y su registro ante autoridad competente?",Otorgar y mantener actualizada la garantía por el equivalente a quinientas veces el valor diario de la Unidad de Medida y Actualización a satisfacción de la Secretaría de Finanzas de Gobierno del Estado.
DERECHO REGISTRAL,Quién toma la protesta de ley a los notarios públicos?,El titular del poder ejecutivo (gobernador constitucional del Estado).
DERECHO REGISTRAL,Por qué le corresponde al ejecutivo tomar la protesta?,Porque él es el encargado de otorgarle el fiat del notario tal y como lo dispone el artículo 1 de la Ley del Notariado de Tamaulipas con base a las facultades conferidas en el artículo 91 fracción XXV de la constitución local.
DERECHO REGISTRAL,"Si el gobernador no toma la protesta de ley a los notarios, quien puede sustituirlo?",El Secretario General de Gobierno.
DERECHO REGISTRAL,"Si el secretario de gobierno no toma la protesta de ley a los notarios, quien puede sustituirlo?",Sólo el gobernador y el Secretario de Gobierno pueden tomar protesta al notario.
DERECHO REGISTRAL,Qué otro requisito se le exige al notario para ejercer su función notarial?,Ser profesional del Derecho (Licenciado en Derecho).
DERECHO REGISTRAL,Por qué debe de ingresar el notario al colegio de notarios?,Porque así lo dispone la ley del notariado del Estado.
DERECHO REGISTRAL,En donde debe inscribirse el notario para ser socio de esa colegiación?,"En el Colegio de Notarios del Estado, y en el colegio de notarios del distrito que le corresponda."
DERECHO REGISTRAL,Paga cuotas el notario para ser socio de ambos colegios?,Sí.
DERECHO REGISTRAL,"Debe el notario inscribirse en el colegio nacional de notarios que cobra $5,000 pesos anuales?",Sí.
DERECHO REGISTRAL,¿Qué sucede si un notario asociado ocupa un cargo público incompatible con la función notarial?,"Es motivo de suspensión de los efectos del convenio de asociación, que uno de los asociados sea designado para ocupar un cargo público."
DERECHO REGISTRAL,Por qué algunos notarios no se inscriben al colegio nacional?,Porque no pueden o no quieren pagar dicha cuota.
DERECHO REGISTRAL,¿Donde se publica la patente de aspirante a notario?,Los nombramientos de los Notarios y de los aspirantes al Notariado se publicarán en el Periódico Oficial del Estado.
DERECHO REGISTRAL,"Una vez que el notario obtenga el nombramiento, dónde se registran éstos?","En la Dirección de Asuntos Notariales, en la Secretaría del Trabajo y en el Registro Público de la Propiedad."
DERECHO REGISTRAL,Quién lleva el libro de registro de notarios?,"La Secretaría del Trabajo por conducto de la Dirección de Permisos y Legalizaciones, el Registro Público de la Propiedad, el Colegio de Notarios del Estado y el Colegio de Notario del distrito judicial que la corresponda (artículo 26 de la ley invocada)."
DERECHO REGISTRAL,Qué deben de contener los libros de registro de notarios?,"El título ""Registro de Notarios""."
DERECHO REGISTRAL,Cuál es la edad mínima para ser aspirante a notario y para obtener la Fiat de notario?,25 y 30 años respectivamente.
DERECHO REGISTRAL,Cuánto tiempo requiere el aspirante de práctica notarial?,3 años.
DERECHO REGISTRAL,Cuál es el plazo por el cual el notario público debe comenzar a ejercer sus funciones?,60 días.
DERECHO REGISTRAL,El notario puede ejercer su función al día siguiente de la protesta de ley?,No.
DERECHO REGISTRAL,El notario puede ejercer su función a los 59 días después de la protesta?,No.
DERECHO REGISTRAL,"El notario que no ejerza sus funciones dentro de ese plazo o sea, posterior al plazo qué sucede con su situación?",Quedará sin efecto el Fiat otorgado al notario.
DERECHO REGISTRAL,En qué caso puede un notario rebasar el plazo de los 60 días para ejercer su función?,Cuando exista causa justificada.
DERECHO REGISTRAL,Cuáles pueden ser causas justificadas para que un notario no ejerza su función dentro del plazo?,"Las que estén a juicio del Secretario del Trabajo con la opinión del Director de Asuntos Notariales conforme a los artículos 45, 46 y 47 de la Ley del Notarios para el Estado de Tamaulipas."
DERECHO REGISTRAL,Dónde se publica el aviso al público del inicio de actividades de la función notarial?,"En el Periódico Oficial del Estado y lo comunicará a la Secretaría del Trabajo, al Registro Público de la Propiedad y a la Dirección de Asuntos Notariales."
DERECHO REGISTRAL,Qué hace el notario en el ejercicio de su función?,"I. Redactar los instrumentos relativos a los hechos y actos jurídicos, así como actuaciones notariales, pasados ante su fe II. Llevar el Protocolo en el que se contengan, firmados y autorizados, los instrumentos notariales a que se refiere la fracción anterior III. Llevar el Apéndice del Protocolo, formado con los anexos relativos a cada instrumento IV. Dar fe de tener ante su vista situaciones de hecho a las que la ley atribuya consecuencias de derecho V. Compulsar documentos, dar fe de su existencia y certificar la ratificación de las firmas que calzan los documentos privados, siguiendo las formas que establece la presente ley VI. Expedir testimonio de los instrumentos que obran en su protocolo VII. Intervenir en la tramitación extrajudicial de sucesiones testamentarias e intestamentarias, conforme a las disposiciones legales aplicables en cada caso VIII. Actuar como árbitro o secretario en juicios arbitrales IX. Actuar como mediador en términos de la Ley de Mediación del Estado de Tamaulipas X. Intervenir, cuando el interesado opte por esta vía y no por la judicial, conforme a lo señalado en los artículos 162 y 163 de esta ley, en asuntos de Jurisdicción Voluntaria. Los Notarios llevarán, para el control de esos trámites en sede notarial, un Libro Índice de Asuntos de Jurisdicción Voluntaria y XI. Intervenir en los demás actos que esta ley u otros ordenamientos jurídicos autoricen."
DERECHO REGISTRAL,Qué otro nombre reciben esos documentos pasados ante la fe del notario?,Actuaciones Notariales.
DERECHO REGISTRAL,Cuál es el efecto de los documentos notariales?,La publicidad del acto.
DERECHO REGISTRAL,Cómo se llama la figura jurídica donde constan los instrumentos notariales?,Apéndice del Protocolo.
DERECHO REGISTRAL,Qué son los instrumentos notariales?,Son los documentos originales que el notario asienta en su protocolo y formaliza autorizándolos con su sello y firma son actos y hechos jurídicos que se asientan en escrituras y actas respectivamente.
DERECHO REGISTRAL,Qué requisito debe contener las hojas del protocolo?,"La certificación, la ratificación de las firmas, el sello y el folio."
DERECHO REGISTRAL,Qué sucede si no tiene firma algunas hojas por el notario público?,Puede ser invalidadas o anulables.
DERECHO REGISTRAL,Qué otra función del notario además de la redacción y llevar el protocolo se encuentra obligado?,"Actuará como asesor de los comparecientes, debiendo ilustrar a las partes en materia jurídica, así como orientar y explicar a los otorgantes y comparecientes el valor y las consecuencias legales de los actos en que intervenga (artículo 30 de la ley del notariado)."
DERECHO REGISTRAL,¿En qué consiste el apéndice del protocolo?,"Es una carpeta por cada juego de folios en la cual el notario irá depositando los documentos, los cuales se arreglarán por legajos, poniéndose en cada uno de ellos el número que corresponda al del instrumento a que se refiere y una letra del alfabeto que lo señale y distinga de los otros que forman el legajo."
DERECHO REGISTRAL,¿Qué otras funciones tiene el notario público?,Funciones de árbitro y mediador cuando se lo requieran.
DERECHO REGISTRAL,"¿Entre las funciones notariales, que tramites o juicios puede realizar el notario público?","Podrán los Notarios ejercer su profesión de abogado y con el carácter de patrono o apoderado dirigir los asuntos particulares que se les encomienden y que sean inherentes a dicha profesión, pero en tales asuntos, cuando haya contienda, no deberán actuar con el carácter de Notario."
DERECHO REGISTRAL,¿Qué hace un árbitro como notario público?,"Conocer los asuntos que se le soliciten los interesados conforme a los interesados conforme a los planteamientos o compromisos respectivos, observando para su trámite las formas, procedimientos y restricciones que establece el Código de Procedimientos Civiles para el Estado de Tamaulipas, el Código de Comercio, la Ley de Mediación para el Estado de Tamaulipas y demás leyes aplicables."
DERECHO REGISTRAL,¿En qué consiste la función del mediador del notario público?,"Conocer los asuntos que se le soliciten los interesados conforme a los interesados conforme a los planteamientos o compromisos respectivos, observando para su trámite las formas, procedimientos y restricciones que establece el Código de Procedimientos Civiles para el Estado de Tamaulipas, el Código de Comercio, la Ley de Mediación para el Estado de Tamaulipas y demás leyes aplicables."
DERECHO REGISTRAL,¿cuál es la excepción a la regla del secreto profesional del notario?,"Salvo los informes obligatorios que deben rendir con sujeción a las leyes respectivas y de los actos que deban inscribirse en el Registro Público de la Propiedad Inmueble y de Comercio, de los cuales podrán enterarse las personas que no hubiesen intervenido en ellos y siempre que a juicio del Notario tengan algún interés legítimo en el asunto y aun no se haya efectuado la inscripción respectiva."
DERECHO REGISTRAL,¿Cuáles son los actos prohibidos por la ley que el notario debe rehusarse para su ejercicio?,"I.- Si el acto cuya intervención se le pide está prohibido por la ley, es contrario a las buenas costumbres o su autorización legal corresponde exclusivamente a un funcionario o funcionarios determinados II.- Si intervienen como partes su cónyuge, sus parientes consanguíneos en línea recta sin límite de grado o en la colateral hasta el cuarto grado inclusive, por afinidad o su concubina o concubinario III.- Si el acto contiene disposiciones o estipulaciones que beneficien al Notario o a alguno de las personas previstas en la fracción anterior, o personas de quienes algunos de ellos fuera apoderado o representante legal en el acto en que interviene IV.- Si el objeto del acto es física o legalmente imposible V.- Si el acto o el hecho de que se trata tiene relación con negocios contenciosos que se encuentre patrocinando el Notario como abogado."
DERECHO REGISTRAL,¿Cuándo puede excusarse el notario público de trabajar?,"1.- El Notario puede excusarse de actuar: I.- En días festivos, sábados y domingos o en horas que no sean de oficina, a no ser de que se trate de testamento u otro acto de urgencia inaplazable, y en los casos previstos en las leyes electorales o II.- Si no se le anticipan los gastos, excepto en el caso de testamento urgente y en asuntos de carácter electoral cuando por ley deban estar abiertas sus oficinas para esos efectos. 2.- El Notario está obligado a excusarse de actuar si alguna circunstancia le impide atender con imparcialidad el asunto que."
DERECHO REGISTRAL,¿El notario puede excusarse de trabajar si no le pagan los gastos?,Sí.
DERECHO REGISTRAL,¿Cuál es la excepción o excepciones de no excusarse a actuar al notario?,"En días festivos, sábados y domingos o en horas que no sea de oficina a no ser de que se trate de testamento u otro acto de urgencia inaplazable, y en los casos previstos en las leyes electorales o si no se le anticipan los gastos excepto en los casos de testamento urgente y en asuntos de carácter electora cuando por ley deban estar abiertas sus oficinas para esos efectos."
DERECHO REGISTRAL,¿El notario debe actuar con parcialidad en los asuntos que se le encomienden?,"No, debe actuar con imparcialidad."
DERECHO REGISTRAL,¿Cuántos tipos de notarios existen?,"Existen dos tipos de notarios, el titular y el adscrito."
DERECHO REGISTRAL,¿Puede ejercer sus funciones el titular conjuntamente con el adscrito?,No.
DERECHO REGISTRAL,¿Cuándo entra en funciones el adscrito?,Cuando el titular pide licencia y/o permiso para ausentarse.
DERECHO REGISTRAL,¿Pueden Asociarse 2 notarios?,"Sí, siempre que sus Notarías estén ubicadas en el mismo Distrito Judicial. (Art 43)."
DERECHO MERCANTIL,El Licenciado en Contaduría debe ser un experto en Derecho Mercantil.,Verdadero
DERECHO MERCANTIL,Es sencillo encontrar un concepto universal de Derecho Mercantil.,Falso
DERECHO MERCANTIL,El Derecho Mercantil regula las actividades de los comerciantes.,Verdadero
DERECHO MERCANTIL,Solo el Derecho Mercantil tiene fuentes.,Falso
DERECHO MERCANTIL,La Jurisprudencia es una fuente del Derecho Mercantil.,Verdadero
DERECHO MERCANTIL,La costumbre no es una fuente de Derecho Mercantil.,Falso
DERECHO MERCANTIL,Los usos y costumbres bancarios son obligatorios en materia mercantil cuando la ley es omisa.,Verdadero
DERECHO MERCANTIL,Los comerciantes solo pueden ser personas morales.,Falso
DERECHO MERCANTIL,Los corredores públicos están imposibilitados para ejercer el comercio.,Verdadero
DERECHO MERCANTIL,Los comerciantes tienen obligaciones pero no derechos.,Falso
DERECHO MERCANTIL,Auxiliar del comercio es sinónimo de auxiliar del comerciante.,Falso
DERECHO MERCANTIL,Los empleados son auxiliares del comercio.,Falso
DERECHO MERCANTIL,Los corredores son auxiliares del comerciante.,Falso
DERECHO MERCANTIL,La empresa es una unidad económico-social.,Verdadero
DERECHO MERCANTIL,El empresario es siempre el dueño de la empresa.,Verdadero
DERECHO MERCANTIL,La clientela es uno de los elementos más importantes de la Empresa.,Verdadero
DERECHO MERCANTIL,La invención es una actividad humana que permite modificar la materia para aprovechamiento del hombre.,Verdadero
DERECHO MERCANTIL,La patente es un certificado de explotación exclusiva de un modelo de utilidad o diseño industrial.,Falso
DERECHO MERCANTIL,La vigencia de explotación de una marca es de 20 años.,Verdadero
DERECHO MERCANTIL,La vigencia de una patente es permanente a favor del inventor.,Falso
DERECHO MERCANTIL,La denominación de origen es el lugar que le ha dado su nombre a una sociedad extranjera.,Falso
DERECHO MERCANTIL,Es opcional para el productor mexicano indicar en sus productos el lugar de fabricación.,Falso
DERECHO MERCANTIL,Las sociedades de carácter comercial están reguladas por el Derecho Civil.,Falso
DERECHO MERCANTIL,La clasificación de las sociedades mercantiles puede ser legal por su tipo de capital.,Falso
DERECHO MERCANTIL,"En las sociedades capitalistas, lo que importa es la aportación económica de socios y no así su calidad moral.",Verdadero
DERECHO MERCANTIL,La sociedad cooperativa es una más que se rige por la ley general de sociedades mercantiles.,Falso
DERECHO MERCANTIL,La sociedad mercantil se constituye ante Notario Público.,Verdadero
DERECHO MERCANTIL,Para que una sociedad mercantil tenga personalidad jurídica es forzoso que cuente con una escritura pública.,Verdadero
DERECHO MERCANTIL,El reconocimiento de la personalidad jurídica determina una completa autonomía entre la sociedad y la persona de sus socios.,Verdadero
DERECHO MERCANTIL,Las Sociedades mercantiles de hecho son aquellas que existen por libre manifestación de la voluntad de sus componentes sin documento que lo compruebe.,Verdadero
DERECHO MERCANTIL,Las sociedades irregulares son aquellas que realizan todo tipo de actividades en lugar establecido pero que carecen de escritura pública o registro legal.,Verdadero
DERECHO MERCANTIL,Las de objeto lícito son sociedades opuestas al derecho porque están fuera de la ley.,Falso
DERECHO MERCANTIL,Una sociedad jamás pierde su personalidad jurídica.,Falso
DERECHO MERCANTIL,Primero se realiza el proceso de la disolución y después la liquidación.,Verdadero
DERECHO MERCANTIL,La disolución está constituida por todas las operaciones posteriores a la liquidación.,Falso
DERECHO MERCANTIL,La fusión por accesión consiste en que dos o más sociedades mercantiles integren su capital social en una nueva.,Falso
DERECHO MERCANTIL,La fusión por incorporación hace referencia a que una o más sociedades se fusionen con otra que sea de creación anterior a la fusión.,Verdadero
DERECHO MERCANTIL,La fusión es lo mismo que la transformación.,Falso
DERECHO MERCANTIL,La sociedad anónima es aquella sociedad mercantil cuyos titulares lo son en virtud de una participación en el capital social a través de títulos o acciones.,Verdadero
DERECHO MERCANTIL,Es un elemento de la sociedad anónima la limitación de responsabilidad de los socios frente a terceros.,Falso
DERECHO MERCANTIL,En las sociedades anónimas se conoce a sus dueños pero no a sus demás miembros.,Falso
DERECHO MERCANTIL,La Ley General de Sociedades Mercantiles señala los requisitos de constitución de las Sociedades Anónimas.,Verdadero
DERECHO MERCANTIL,La constitución de una sociedad anónima se realiza ante el Juez Civil de la Localidad.,Falso
DERECHO MERCANTIL,La constitución de una sociedad anónima es única a pesar de existir dos procedimientos legales para ello.,Verdadero
DERECHO MERCANTIL,"Son asambleas ordinarias, las que se reúnen para tratar cualquier asunto que no sea de los enumerados en el artículo 182 de la LGSM.",Falso
DERECHO MERCANTIL,Las asambleas especiales son las que se rigen por las disposiciones de las asambleas generales y serán presididas por el accionista que designen los socios presentes.,Verdadero
DERECHO MERCANTIL,"La Convocatoria deberá hacerse por el administrador o el Consejo de Administración, o por los comisarios.",Verdadero
DERECHO MERCANTIL,Está prohibida la administración de la sociedad anónima por uno o más mandatarios temporales y revocables.,Falso
DERECHO MERCANTIL,"Los mandatarios de la administración estarán a cargo de uno o varias personas, que pueden ser socios o personas extrañas a la sociedad.",Verdadero
DERECHO MERCANTIL,Las atribuciones de los administradores no deriva del mandato que le otorga la asamblea general de socios.,Falso
