tipo,pregunta,materia,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,opcion_f,correctas,respuesta_correcta,respuesta_modelo,criterios
opcion_unica,¿En qué consiste el principio de legalidad?,Derecho,En que el Estado debe actuar conforme a la Constitución y las leyes,En que ningún órgano del Estado puede realizar actos individuales que no estén previstos en la ley.,En que las leyes deben ser claras y precisas para los ciudadanos,En que todos los actos de los particulares deben estar permitidos por la ley,,,1,En que ningún órgano del Estado puede realizar actos individuales que no estén previstos en la ley.,El principio de legalidad implica que la actuación de los órganos estatales debe estar expresamente autorizada por una ley.,
opcion_unica,¿Cuándo se habla de la reserva de la ley?,Derecho,Cuando es competencia exclusiva del Poder que está encargado de legislar.,Cuando la ley solo puede ser modificada por el voto popular,Cuando el Ejecutivo tiene facultades para legislar en ciertas materias,Cuando los tratados internacionales tienen jerarquía superior a la ley,,,0,Cuando es competencia exclusiva del Poder que está encargado de legislar.,"La reserva de la ley se refiere a que ciertas materias solo pueden ser reguladas por el Poder Legislativo, no por otros órganos.",
opcion_unica,¿En qué consiste la facultad discrecional de la Administración Pública?,Derecho,"Permite adaptar la ley a circunstancias imprevistas, apreciar técnicamente los elementos del caso y hacer equitativa su aplicación.",Es la facultad de crear nuevas leyes cuando la Administración lo considere necesario.,Permite a la Administración actuar sin sujetarse a ningún marco legal.,Consiste en la obligación de aplicar la ley de manera estricta sin considerar las circunstancias particulares.,,,0,"Permite adaptar la ley a circunstancias imprevistas, apreciar técnicamente los elementos del caso y hacer equitativa su aplicación.","La facultad discrecional otorga a la Administración un margen de apreciación para adaptar la ley a situaciones concretas, garantizando equidad y eficacia.",
opcion_unica,¿Qué es un reglamento en el ámbito jurídico mexicano?,Derecho,Acuerdo entre particulares que regula sus relaciones privadas.,Norma jurídica abstracta e impersonal expedida por el Ejecutivo para facilitar la observancia de las leyes del Legislativo.,Decisión judicial que interpreta una ley para un caso concreto.,Conjunto de normas emitidas por el Poder Legislativo con carácter general y obligatorio.,,,1,Norma jurídica abstracta e impersonal expedida por el Ejecutivo para facilitar la observancia de las leyes del Legislativo.,"El reglamento es una norma general emitida por el Ejecutivo en ejercicio de facultad propia, que desarrolla y facilita el cumplimiento de las leyes.",
opcion_unica,¿Qué ley regula y ajusta el aparato administrativo del Estado mexicano?,Derecho,Ley Federal de Procedimiento Administrativo,Ley Orgánica de la Administración Pública Federal,Ley Federal de Servidores Públicos,Ley de Amparo,,,2,Ley Federal de Servidores Públicos,La Ley Federal de Servidores Públicos es la que regula las relaciones del Estado con sus servidores públicos y su funcionamiento.,
opcion_unica,¿Qué artículo constitucional fundamenta la Ley Federal de Servidores Públicos?,Derecho,Artículo 73 constitucional,Artículo 90 constitucional,Artículo 89 constitucional,Artículo 123 constitucional,,,1,Artículo 90 constitucional,"El artículo 90 de la Constitución establece las bases para la organización de la Administración Pública Federal, fundamentando dicha ley.",
opcion_unica,¿Quién está facultado para organizar la administración pública y qué lo faculta?,Derecho,"El Congreso de la Unión, con base en su facultad legislativa.","El Poder Judicial, mediante sus sentencias.","Los gobernadores de los estados, en ejercicio de su soberanía.","El Presidente de la República, con fundamento en la Constitución y leyes, integra la Administración Pública Centralizada.",,,3,"El Presidente de la República, con fundamento en la Constitución y leyes, integra la Administración Pública Centralizada.","El Presidente de la República, facultado por la Constitución, organiza la administración pública centralizada.",
opcion_unica,¿Qué es el derecho económico?,Derecho,Normas que regulan exclusivamente las relaciones entre particulares en materia comercial.,Rama del derecho que estudia las leyes del mercado y la oferta y demanda.,Conjunto de principios éticos que rigen la economía de un país.,Conjunto de normas que regulan la dirección y realización de la actividad económica y las relaciones entre organismos socialistas.,,,3,Conjunto de normas que regulan la dirección y realización de la actividad económica y las relaciones entre organismos socialistas.,"El derecho económico comprende las normas que estructuran y dirigen la actividad económica, incluyendo las relaciones entre entes socialistas.",
opcion_unica,¿Por qué el derecho económico se ubica en el derecho privado?,Derecho,"Porque regula conductas entre particulares, limitándose a vigilar sus asuntos.",Porque regula la actividad del Estado en su función soberana.,Porque se enfoca en las relaciones entre Estados y organismos internacionales.,Porque establece las normas para la creación de empresas públicas.,,,0,"Porque regula conductas entre particulares, limitándose a vigilar sus asuntos.","El derecho económico se considera parte del derecho privado al regular las relaciones entre particulares, con intervención estatal limitada.",
opcion_unica,¿De qué elementos se integra el derecho privado?,Derecho,Elemento formal (estructura de la norma) y elemento material (contenido y finalidad).,Elemento subjetivo (sujetos) y elemento objetivo (objeto).,Elemento nacional e internacional.,Elemento público y privado.,,,0,Elemento formal (estructura de la norma) y elemento material (contenido y finalidad).,El derecho privado se compone de un aspecto formal relativo a la estructura normativa y un aspecto material referente a su contenido y fin.,
opcion_unica,¿Cuáles son los sujetos del derecho privado?,Derecho,Exclusivamente las empresas y los comerciantes.,Solo las personas físicas y morales de carácter privado.,"Todos los que participan en la actividad económica: Estado, particulares, empresas y familia.",Únicamente el Estado y sus organismos descentralizados.,,,2,"Todos los que participan en la actividad económica: Estado, particulares, empresas y familia.","Los sujetos del derecho privado incluyen al Estado, particulares, empresas y familia, en tanto intervienen en la actividad económica.",
opcion_unica,¿Cuáles son las características del derecho económico?,Derecho,"Privado, público, social, individual y colectivo.","Estático, formal, abstracto, nacional y unilateral.","Humanista, dinámico, complejo, concreto, multidisciplinario e internacional.","Sancionador, coercitivo, jerárquico, local y bilateral.",,,2,"Humanista, dinámico, complejo, concreto, multidisciplinario e internacional.","El derecho económico se caracteriza por ser humanista, dinámico, complejo, concreto, multidisciplinario e internacional.",
opcion_unica,¿Cuál es la razón por la que el derecho económico tiene un carácter humanista?,Derecho,Porque busca maximizar las ganancias de los inversionistas.,Porque regula exclusivamente las relaciones entre Estados.,Porque procura la protección de los sectores más desprotegidos de la sociedad.,Porque se enfoca en el desarrollo económico de las grandes empresas.,,,2,Porque procura la protección de los sectores más desprotegidos de la sociedad.,El derecho económico es humanista porque busca proteger a los sectores más vulnerables de la sociedad.,
opcion_unica,¿Por qué se considera complejo el derecho económico?,Derecho,Porque es una rama del derecho privado que no involucra al Estado.,Porque sus normas son sencillas y de fácil aplicación.,Porque sus normas regulan las relaciones económicas y las relaciones jurídicas entre Estados.,Porque solo regula las actividades comerciales internas de un país.,,,2,Porque sus normas regulan las relaciones económicas y las relaciones jurídicas entre Estados.,La complejidad del derecho económico radica en que abarca tanto las relaciones económicas internas como las internacionales entre Estados.,
opcion_unica,¿Por qué se dice que el derecho económico es multidisciplinario?,Derecho,Porque estudia las distintas actividades del proceso económico.,Porque se limita al estudio de las leyes fiscales.,Porque solo analiza las actividades de producción.,Porque no se relaciona con otras ciencias.,,,0,Porque estudia las distintas actividades del proceso económico.,El derecho económico es multidisciplinario porque abarca el estudio de las diversas actividades que conforman el proceso económico.,
opcion_unica,¿En qué momento el derecho económico adquiere un carácter internacional?,Derecho,Cuando las empresas multinacionales actúan sin intervención estatal.,Cuando un Estado suscribe acuerdos o tratados con otros Estados para regular actividades económicas.,Cuando la economía de un país se vuelve autosuficiente.,Cuando un Estado regula unilateralmente su economía interna.,,,1,Cuando un Estado suscribe acuerdos o tratados con otros Estados para regular actividades económicas.,El derecho económico se vuelve internacional cuando los Estados celebran tratados para regular actividades económicas conjuntas.,
opcion_unica,¿Cuál es la importancia de la actividad económica?,Derecho,Establecer normas para el comercio internacional.,Acumular riqueza exclusivamente para el Estado.,Regular las relaciones familiares y personales.,"Producir bienes y prestar servicios que las personas necesitan o desean, mediante la producción, comercialización y consumo.",,,3,"Producir bienes y prestar servicios que las personas necesitan o desean, mediante la producción, comercialización y consumo.","La actividad económica es importante porque busca satisfacer las necesidades humanas mediante la producción, comercialización y consumo de bienes y servicios.",
opcion_unica,¿Qué se entiende por actividad económica?,Derecho,Procesos de intercambio de bienes y servicios entre países.,Acciones del gobierno para regular el mercado.,Conjunto de actividades destinadas a convertir los bienes de la naturaleza en objetos útiles para el ser humano.,Actividades exclusivamente financieras realizadas por los bancos.,,,2,Conjunto de actividades destinadas a convertir los bienes de la naturaleza en objetos útiles para el ser humano.,La actividad económica es el proceso de transformar recursos naturales en bienes útiles para las personas.,
opcion_unica,¿Cuál es el funcionamiento de la actividad económica?,Derecho,"Inversión, ahorro y gasto.","Importación, exportación y reexportación.","Producción, comercialización y consumo.","Extracción, transformación y distribución.",,,2,"Producción, comercialización y consumo.","El funcionamiento de la actividad económica se basa en las fases de producción, comercialización y consumo.",
opcion_unica,¿Qué busca la actividad económica?,Derecho,Busca la acumulación de bienes sin importar el costo.,Busca la autosuficiencia de cada individuo.,Busca maximizar el beneficio de los intermediarios.,Busca la forma más rápida y menos costosa para obtener servicios.,,,3,Busca la forma más rápida y menos costosa para obtener servicios.,"La actividad económica busca eficiencia, es decir, obtener servicios de manera rápida y con el menor costo posible.",
opcion_unica,¿Cuáles son los factores productivos de la actividad económica?,Derecho,"Inversión, ahorro y consumo.","Tierra, tecnología y conocimiento.","Recursos naturales, trabajo y capital.","Materia prima, maquinaria y mano de obra.",,,2,"Recursos naturales, trabajo y capital.","Los factores productivos clásicos son tres: recursos naturales, trabajo y capital.",
opcion_unica,¿Qué es la economía?,Derecho,Es una rama del derecho que regula las actividades comerciales.,"Es una ciencia social que estudia los procedimientos productivos, de intercambio y el consumo de bienes y servicios.",Es una disciplina que estudia únicamente el comportamiento del consumidor.,Es una ciencia exacta que se enfoca en el cálculo matemático de las ganancias.,,,1,"Es una ciencia social que estudia los procedimientos productivos, de intercambio y el consumo de bienes y servicios.","La economía es una ciencia social que analiza la producción, distribución y consumo de bienes y servicios.",
opcion_unica,¿Cómo se clasifica la economía?,Derecho,"Según su tamaño, su población y su territorio.","Según su naturaleza, su objeto y su funcionamiento.","Según su nivel de desarrollo, su tecnología y su cultura.","Según su sector primario, secundario y terciario.",,,1,"Según su naturaleza, su objeto y su funcionamiento.","La economía se clasifica con base en su naturaleza, objeto y funcionamiento.",
opcion_unica,¿Cuál es la importancia de la economía?,Derecho,Permite a las empresas maximizar sus ganancias sin considerar el bienestar social.,Permite a los gobiernos controlar todos los precios de los bienes y servicios.,"Permite el desarrollo de los países al resolver qué, cómo y para quién producir, generando ganancias y desarrollo.",Permite a los países acumular riqueza sin necesidad de comerciar con otros.,,,2,"Permite el desarrollo de los países al resolver qué, cómo y para quién producir, generando ganancias y desarrollo.",La economía es importante porque orienta la producción y distribución de bienes para el desarrollo de los países.,
opcion_unica,¿Qué es la macroeconomía y cuáles son sus objetivos?,Derecho,Estudia las decisiones de las empresas; busca minimizar sus costos de producción.,"Estudia los sistemas económicos de una región o país en su conjunto; busca crecimiento económico, pleno empleo y estabilidad de precios.",Estudia el comportamiento de los consumidores individuales; busca maximizar su utilidad.,Estudia los mercados específicos; busca determinar el precio de equilibrio.,,,1,"Estudia los sistemas económicos de una región o país en su conjunto; busca crecimiento económico, pleno empleo y estabilidad de precios.","La macroeconomía analiza la economía en su conjunto y persigue crecimiento, empleo y estabilidad de precios.",
opcion_unica,¿Qué es la microeconomía y cuáles son sus objetivos?,Derecho,Analiza la economía de un país en su conjunto; su objetivo es controlar la inflación.,Analiza las políticas fiscales del gobierno; su objetivo es reducir el déficit público.,Analiza el comercio internacional; su objetivo es equilibrar la balanza de pagos.,Analiza la actividad económica de los agentes individuales; su objetivo es determinar los precios de bienes y factores en el mercado.,,,3,Analiza la actividad económica de los agentes individuales; su objetivo es determinar los precios de bienes y factores en el mercado.,La microeconomía se centra en el comportamiento individual y en la formación de precios en el mercado.,
opcion_unica,¿En qué países encontramos los inicios del derecho económico?,Derecho,Japón y China.,Estados Unidos y Francia.,Inglaterra y España.,Alemania e Italia.,,,3,Alemania e Italia.,El derecho económico tuvo sus orígenes en Alemania e Italia.,
opcion_unica,¿Cuándo nace esta rama del derecho?,Derecho,Con la crisis económica de 1929 en Estados Unidos.,Tras la caída del muro de Berlín en 1989.,Durante la Revolución Industrial en el siglo XVIII.,A partir de los desafíos que la Segunda Guerra Mundial impuso a las economías de los países beligerantes.,,,3,A partir de los desafíos que la Segunda Guerra Mundial impuso a las economías de los países beligerantes.,El derecho económico surge tras la Segunda Guerra Mundial para enfrentar los retos económicos de los países involucrados.,
opcion_unica,¿Con qué fin el Estado comenzó a tomar parte de manera organizada en la economía?,Derecho,Con fines de monopolizar los sectores estratégicos.,Con fines de eliminar la propiedad privada.,Con fines de recaudación fiscal y control político.,"Con fines de regulación, control, promoción y desarrollo.",,,3,"Con fines de regulación, control, promoción y desarrollo.","El Estado interviene organizadamente para regular, controlar, promover y desarrollar la economía.",
opcion_unica,¿Cuáles son las fuentes reales de los antecedentes de México en 1917?,Derecho,"Nacionales: grupos de presión internos (empresarios, agricultores, sindicatos); extranjeras: organismos financieros internacionales (FMI, BM), inversionistas, banqueros y gobiernos extranjeros.",Nacionales: los tratados internacionales; extranjeras: las costumbres jurídicas.,Nacionales: las Leyes de Reforma; extranjeras: el Código Napoleónico.,Nacionales: la Constitución de 1824; extranjeras: la Constitución de Cádiz.,,,0,"Nacionales: grupos de presión internos (empresarios, agricultores, sindicatos); extranjeras: organismos financieros internacionales (FMI, BM), inversionistas, banqueros y gobiernos extranjeros.",Las fuentes reales de 1917 incluyen presiones internas de grupos sociales y externas de organismos financieros y gobiernos.,
opcion_unica,¿Qué artículos de la Constitución mexicana hablan de los derechos económicos?,Derecho,"Artículo 28, que prohíbe monopolios, y artículo 25, que regula la rectoría económica del Estado.","Artículo 27, que entrega a la nación el origen de toda propiedad, y artículo 5, que reconoce la libertad de trabajo y la libre concurrencia.","Artículo 3, que garantiza la educación, y artículo 123, que regula el trabajo.","Artículo 14, que establece la irretroactividad de la ley, y artículo 16, que protege la legalidad.",,,1,"Artículo 27, que entrega a la nación el origen de toda propiedad, y artículo 5, que reconoce la libertad de trabajo y la libre concurrencia.",Los artículos 27 y 5 establecen bases económicas: propiedad originaria de la nación y libertad de trabajo y concurrencia.,
opcion_unica,¿En qué año adquiere relevancia constitucional el derecho económico en México?,Derecho,"En 1824, con la Constitución Federal.","En 1910, con el inicio de la Revolución Mexicana.","En 1857, con la Constitución de la Reforma.","En 1917, con la Constitución de Querétaro.",,,3,"En 1917, con la Constitución de Querétaro.",El derecho económico adquiere relevancia constitucional en 1917 con la Carta de Querétaro.,
opcion_unica,¿Cuáles son las fases del proceso económico?,Derecho,"Extracción, transformación y comercialización.","Ahorro, inversión y gasto.","Circulación, distribución, consumo, inversión y producción.","Producción, distribución y consumo.",,,2,"Circulación, distribución, consumo, inversión y producción.","Las fases del proceso económico son circulación, distribución, consumo, inversión y producción.",
opcion_unica,¿En qué benefician estas fases al consumidor?,Derecho,Permiten que el productor obtenga mayores ganancias.,Garantizan que los precios sean siempre bajos.,Aseguran que todos los productos sean de alta calidad.,Permiten que el consumidor satisfaga sus necesidades de compra y consumo.,,,3,Permiten que el consumidor satisfaga sus necesidades de compra y consumo.,El beneficio es que el consumidor puede satisfacer sus necesidades de compra y consumo.,
opcion_unica,¿Cuáles son las dos reglas de la circulación?,Derecho,1) El bien debe producirse en masa; 2) el bien debe anunciarse.,1) El bien debe tener precio fijo; 2) el bien debe ser de fácil acceso.,1) El bien debe almacenarse; 2) el bien debe venderse al contado.,1) El bien debe transportarse del lugar de producción al de los consumidores; 2) el bien debe pasar del poder del productor al poder del consumidor.,,,3,1) El bien debe transportarse del lugar de producción al de los consumidores; 2) el bien debe pasar del poder del productor al poder del consumidor.,Las reglas son el transporte del bien y la transferencia de su propiedad o poder al consumidor.,
opcion_unica,¿Cuáles son los factores de distribución?,Derecho,"Producción, distribución y consumo.","Tierra, trabajo y capital.","Naturaleza, trabajo, capital, empresa y estado.","Materia prima, mano de obra y tecnología.",,,2,"Naturaleza, trabajo, capital, empresa y estado.","Los factores de distribución son naturaleza, trabajo, capital, empresa y estado.",
opcion_unica,¿Qué es la inversión?,Derecho,Es el gasto en bienes de consumo duradero.,Es el ahorro de una parte del ingreso.,"Es el financiamiento de un nuevo proceso productivo mediante la adquisición de bienes de capital (herramientas, maquinarias e insumos).",Es la compra de acciones en la bolsa de valores.,,,2,"Es el financiamiento de un nuevo proceso productivo mediante la adquisición de bienes de capital (herramientas, maquinarias e insumos).",La inversión financia un nuevo proceso productivo mediante bienes de capital.,
opcion_unica,¿Qué propone la Ley de Planeación?,Derecho,Definir los impuestos para el desarrollo.,"Establecer un marco normativo para la planeación, regulando su ejecución conforme a las necesidades del desarrollo nacional.",Regular la inversión extranjera.,Crear un sistema de control de precios.,,,1,"Establecer un marco normativo para la planeación, regulando su ejecución conforme a las necesidades del desarrollo nacional.",La Ley de Planeación propone un marco normativo para la planeación del desarrollo nacional.,
opcion_unica,¿Qué establecen las disposiciones generales de la Ley de Planeación?,Derecho,Que buscan limitar la participación ciudadana.,Que son de carácter informativo y no obligatorio.,Que solo aplican al sector privado.,"Que sus disposiciones son de orden público e interés social, permitiendo a la administración pública actuar con flexibilidad en beneficio general.",,,3,"Que sus disposiciones son de orden público e interés social, permitiendo a la administración pública actuar con flexibilidad en beneficio general.","Las disposiciones son de orden público e interés social, otorgando flexibilidad a la administración pública.",
opcion_unica,¿De cuántos capítulos consta la Ley de Planeación?,Derecho,Cinco capítulos.,Doce capítulos.,Siete capítulos.,Diez capítulos.,,,2,Siete capítulos.,La Ley de Planeación está dividida en siete capítulos.,
opcion_unica,¿Qué establece el capítulo 'concertación e inducción' de la Ley de Planeación?,Derecho,La coordinación entre los tres niveles de gobierno.,La creación de organismos autónomos.,Las bases para la concertación entre el sector público y las representaciones de grupos sociales o particulares interesados.,La participación de los estados en la planeación.,,,2,Las bases para la concertación entre el sector público y las representaciones de grupos sociales o particulares interesados.,El capítulo establece las bases para la concertación entre el sector público y los grupos sociales.,
opcion_unica,¿Qué establece el capítulo 'coordinación' de la Ley de Planeación?,Derecho,Que el Ejecutivo Federal debe coordinar a los sectores privado y social.,Que los municipios deben coordinarse con el gobierno estatal.,Que los estados deben presentar sus planes al Congreso.,Que el Ejecutivo Federal podrá convenir con los gobiernos de los estados la coordinación para participar en la planeación nacional del desarrollo.,,,3,Que el Ejecutivo Federal podrá convenir con los gobiernos de los estados la coordinación para participar en la planeación nacional del desarrollo.,El capítulo de coordinación permite al Ejecutivo Federal convenir con los gobiernos estatales para la planeación.,
opcion_unica,¿Quiénes son los sujetos del derecho económico?,Derecho,Solo el Estado y sus organismos descentralizados.,"Todos los agentes económicos en general, las personas jurídicas estatales, las personas jurídicas privadas y los particulares.",Exclusivamente las personas físicas que realizan actividades comerciales.,Únicamente las empresas privadas y los consumidores.,,,1,"Todos los agentes económicos en general, las personas jurídicas estatales, las personas jurídicas privadas y los particulares.","El derecho económico regula la actividad de todos los participantes en la economía, tanto públicos como privados.",
opcion_unica,¿Qué papel juega el Estado en el derecho económico?,Derecho,Es un agente más sin autoridad sobre los demás.,"Actúa como director y rector, depositario de los intereses globales del sistema, con mando y jerarquía.",Interviene solo como regulador pasivo sin participación activa.,Su función se limita a recaudar impuestos y gastar.,,,1,"Actúa como director y rector, depositario de los intereses globales del sistema, con mando y jerarquía.","El Estado tiene un papel rector en la economía, dirigiendo y coordinando los intereses colectivos.",
